Marca temporal,Correo,"¿Declara que he leído, comprendido y acepto íntegramente las Bases del Concurso...?",Nombres,Apellido paterno,Apellido materno,RUN,Fecha de nacimiento,Género,Correo,Número de contacto,Residencia del emprendedor o el emprendimiento,Provincia de residencia,Comuna de residencia,¿Está participando en un programa similar de formación para emprendedores?,Tipo de emprendimiento,Seleccione la alternativa que corresponda a su caso,"Nombre del emprendimiento, negocio, idea o proyecto",Nombre empresa o razón social,RUT de la empresa,Tipo de empresa,Sector o industria,Tamaño de la empresa,Descripción de mi idea o emprendimiento,Propuesta de valor,¿Ha levantado financiamiento público o privado?,Indique qué financiamiento ha levantado,¿Cree usted que su emprendimiento es innovación?,¿Por qué cree usted que su emprendimiento es innovador?,¿Qué tipo potencial innovador tiene su emprendimiento?,Tipo de innovación,Alcance de la innovación,Indicar el sector o área económica de impacto o interés,¿Qué resultados espera lograr los próximos 3 años para su emprendimiento?,"¿Qué impacto social, económico o ambiental espera generar con su emprendimiento en la región de Ñuble?",¿Cuántas personas conforman su equipo? (Incluyéndose usted),Describa a su equipo,Ingrese el enlace donde podamos ver su video,Contraseña (OPCIONAL)
2026/07/12 12:17:00,postulante11@ejemplo.cl,Sí,María,Espinoza,Pérez,10001507-1,1992-03-12,Femenino,postulante11@ejemplo.cl,+56 9 10010901,Mi emprendimiento y mi residencia son en Ñuble,Itata,Cobquecura,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,ServiciosÑuble Bio,ServiciosÑuble Bio,76000143-1,Sociedad de Responsabilidad Limitada (Ltda),Servicios,Micro,"Emprendimiento de servicios enfocado en la región de Ñuble, con foco en Cobquecura.",Solución diferenciada en servicios que resuelve un problema local concreto.,Sí,Capital Semilla CORFO,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Modelo de negocio,Regional,Servicios,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,2,"María Espinoza (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo11,
2026/07/13 13:24:00,postulante12@ejemplo.cl,Sí,Paula,Hernández,Torres,10001644-2,1993-04-13,Femenino,postulante12@ejemplo.cl,+56 9 10011892,Mi emprendimiento y mi residencia son en Ñuble,Diguillín,Pemuco,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",Tecnología Andes,,,,Tecnología,Micro,"Emprendimiento de tecnología enfocado en la región de Ñuble, con foco en Pemuco.",Solución diferenciada en tecnología que resuelve un problema local concreto.,Sí,Capital Semilla CORFO,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Disruptiva,Modelo de negocio,Regional,Tecnología,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Paula Hernández (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo12,
2026/07/14 14:31:00,postulante13@ejemplo.cl,Sí,Matías,Araya,Sepúlveda,10001781-3,1994-05-14,Masculino,postulante13@ejemplo.cl,+56 9 10012883,Mi emprendimiento y mi residencia son en Ñuble,Itata,Trehuaco,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",Salud Norte,,,,Salud,Micro,"Emprendimiento de salud enfocado en la región de Ñuble, con foco en Trehuaco.",Solución diferenciada en salud que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Marginal,Modelo de negocio,Nacional,Salud,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Matías Araya (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo13,
2026/07/15 15:38:00,postulante14@ejemplo.cl,Sí,Cristóbal,Silva,López,10001918-4,1995-06-15,Masculino,postulante14@ejemplo.cl,+56 9 10013874,Mi emprendimiento y mi residencia son en Ñuble,Itata,Trehuaco,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",Agroindustria 活,,,,Agroindustria,Micro,"Emprendimiento de agroindustria enfocado en la región de Ñuble, con foco en Trehuaco.",Solución diferenciada en agroindustria que resuelve un problema local concreto.,Sí,Capital Semilla CORFO,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Modelo de negocio,Regional,Agroindustria,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Cristóbal Silva (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo14,
2026/07/16 16:45:00,postulante15@ejemplo.cl,Sí,Tomás,Hernández,Rodríguez,10002055-5,1996-07-16,Masculino,postulante15@ejemplo.cl,+56 9 10014865,Mi emprendimiento y mi residencia son en Ñuble,Diguillín,Chillán,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",Comercio Norte,,,,Comercio,Micro,"Emprendimiento de comercio enfocado en la región de Ñuble, con foco en Chillán.",Solución diferenciada en comercio que resuelve un problema local concreto.,Sí,Capital Semilla CORFO,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Disruptiva,Producto,Regional,Comercio,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,2,"Tomás Hernández (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo15,
2026/07/17 9:52:00,postulante16@ejemplo.cl,Sí,Tomás,Rojas,Díaz,10002192-6,1997-08-17,Masculino,postulante16@ejemplo.cl,+56 9 10015856,Mi emprendimiento y mi residencia son en Ñuble,Diguillín,El Carmen,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",Servicios Plus,,,,Servicios,Micro,"Emprendimiento de servicios enfocado en la región de Ñuble, con foco en El Carmen.",Solución diferenciada en servicios que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Disruptiva,Producto,Nacional,Servicios,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Tomás Rojas (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo16,
2026/07/18 10:59:00,postulante17@ejemplo.cl,Sí,Javiera,González,Pérez,10002329-7,1998-09-18,Femenino,postulante17@ejemplo.cl,+56 9 10016847,Mi emprendimiento y mi residencia son en Ñuble,Itata,Portezuelo,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,SaludÑuble Norte,SaludÑuble Norte,76000221-7,Empresa Individual de Responsabilidad Limitada (EIRL),Salud,Micro,"Emprendimiento de salud enfocado en la región de Ñuble, con foco en Portezuelo.",Solución diferenciada en salud que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Disruptiva,Producto,Internacional,Salud,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Javiera González (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo17,
2026/07/19 11:06:00,postulante18@ejemplo.cl,Sí,Sebastián,Araya,Pérez,10002466-8,1990-01-10,Masculino,postulante18@ejemplo.cl,+56 9 10017838,Mi emprendimiento y mi residencia son en Ñuble,Diguillín,El Carmen,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,Alimentos Bio,Alimentos Bio,76000234-8,Sociedad de Responsabilidad Limitada (Ltda),Alimentos,Micro,"Emprendimiento de alimentos enfocado en la región de Ñuble, con foco en El Carmen.",Solución diferenciada en alimentos que resuelve un problema local concreto.,Sí,Capital Semilla CORFO,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Disruptiva,Servicio,Regional,Alimentos,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Sebastián Araya (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo18,
2026/07/20 12:13:00,postulante19@ejemplo.cl,Sí,Antonia,Hernández,Espinoza,10002603-9,1991-02-11,Femenino,postulante19@ejemplo.cl,+56 9 10018829,Mi emprendimiento y mi residencia son en Ñuble,Itata,Portezuelo,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,EnergíaÑuble 活,EnergíaÑuble 活,76000247-9,Empresa Individual de Responsabilidad Limitada (EIRL),Energía,Micro,"Emprendimiento de energía enfocado en la región de Ñuble, con foco en Portezuelo.",Solución diferenciada en energía que resuelve un problema local concreto.,Sí,Capital Semilla CORFO,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Marginal,Producto,Regional,Energía,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Antonia Hernández (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo19,
2026/07/21 13:20:00,postulante20@ejemplo.cl,Sí,Paula,Valenzuela,Díaz,10002740-0,1992-03-12,Femenino,postulante20@ejemplo.cl,+56 9 10019820,Mi emprendimiento y mi residencia son en Ñuble,Itata,Cobquecura,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",Turismo Sur,,,,Turismo,Micro,"Emprendimiento de turismo enfocado en la región de Ñuble, con foco en Cobquecura.",Solución diferenciada en turismo que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Proceso,Nacional,Turismo,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Paula Valenzuela (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo20,
2026/07/22 14:27:00,postulante21@ejemplo.cl,Sí,Camila,Araya,Hernández,10002877-1,1993-04-13,Femenino,postulante21@ejemplo.cl,+56 9 10020811,Mi emprendimiento y mi residencia son en Ñuble,Itata,Cobquecura,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,Energía Andes,Energía Andes,76000273-1,Sociedad por Acciones (SpA),Energía,Micro,"Emprendimiento de energía enfocado en la región de Ñuble, con foco en Cobquecura.",Solución diferenciada en energía que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Marginal,Modelo de negocio,Nacional,Energía,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,2,"Camila Araya (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo21,
2026/07/23 15:34:00,postulante22@ejemplo.cl,Sí,Paula,Araya,Silva,10003014-2,1994-05-14,Femenino,postulante22@ejemplo.cl,+56 9 10021802,Mi emprendimiento y mi residencia son en Ñuble,Itata,Quirihue,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,Alimentos Andes,Alimentos Andes,76000286-2,Sociedad de Responsabilidad Limitada (Ltda),Alimentos,Micro,"Emprendimiento de alimentos enfocado en la región de Ñuble, con foco en Quirihue.",Solución diferenciada en alimentos que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Marginal,Producto,Regional,Alimentos,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,2,"Paula Araya (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo22,
2026/07/24 16:41:00,postulante23@ejemplo.cl,Sí,Camila,Silva,Fuentes,10003151-3,1995-06-15,Femenino,postulante23@ejemplo.cl,+56 9 10022793,Mi emprendimiento y mi residencia son en Ñuble,Punilla,San Fabián,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,SaludÑuble Andes,SaludÑuble Andes,76000299-3,Sociedad de Responsabilidad Limitada (Ltda),Salud,Micro,"Emprendimiento de salud enfocado en la región de Ñuble, con foco en San Fabián.",Solución diferenciada en salud que resuelve un problema local concreto.,Sí,Capital Semilla CORFO,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Marginal,Proceso,Internacional,Salud,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Camila Silva (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo23,
2026/07/25 9:48:00,postulante24@ejemplo.cl,Sí,Paula,Soto,Silva,10003288-4,1996-07-16,Femenino,postulante24@ejemplo.cl,+56 9 10023784,Mi emprendimiento y mi residencia son en Ñuble,Punilla,San Carlos,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,Turismo Sur,Turismo Sur,76000312-4,Sociedad de Responsabilidad Limitada (Ltda),Turismo,Micro,"Emprendimiento de turismo enfocado en la región de Ñuble, con foco en San Carlos.",Solución diferenciada en turismo que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Servicio,Nacional,Turismo,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,2,"Paula Soto (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo24,
2026/07/26 10:55:00,postulante25@ejemplo.cl,Sí,Ignacio,Morales,Araya,10003425-5,1997-08-17,Masculino,postulante25@ejemplo.cl,+56 9 10024775,Mi emprendimiento y mi residencia son en Ñuble,Itata,Ninhue,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",TurismoÑuble Bio,,,,Turismo,Micro,"Emprendimiento de turismo enfocado en la región de Ñuble, con foco en Ninhue.",Solución diferenciada en turismo que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Disruptiva,Producto,Internacional,Turismo,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Ignacio Morales (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo25,
2026/07/27 11:02:00,postulante26@ejemplo.cl,Sí,Javiera,Fuentes,Martínez,10003562-6,1998-09-18,Femenino,postulante26@ejemplo.cl,+56 9 10025766,Mi emprendimiento y mi residencia son en Ñuble,Diguillín,Chillán Viejo,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",EducaciónÑuble Plus,,,,Educación,Micro,"Emprendimiento de educación enfocado en la región de Ñuble, con foco en Chillán Viejo.",Solución diferenciada en educación que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Proceso,Nacional,Educación,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,2,"Javiera Fuentes (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo26,
2026/07/28 12:09:00,postulante27@ejemplo.cl,Sí,Felipe,González,Rojas,10003699-7,1990-01-10,Masculino,postulante27@ejemplo.cl,+56 9 10026757,Mi emprendimiento y mi residencia son en Ñuble,Diguillín,Chillán,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,Agroindustria Norte,Agroindustria Norte,76000351-7,Sociedad de Responsabilidad Limitada (Ltda),Agroindustria,Micro,"Emprendimiento de agroindustria enfocado en la región de Ñuble, con foco en Chillán.",Solución diferenciada en agroindustria que resuelve un problema local concreto.,Sí,Capital Semilla CORFO,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Disruptiva,Modelo de negocio,Regional,Agroindustria,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,3,"Felipe González (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo27,
2026/07/01 13:16:00,postulante28@ejemplo.cl,Sí,Carla,Silva,Díaz,10003836-8,1991-02-11,Femenino,postulante28@ejemplo.cl,+56 9 10027748,Mi emprendimiento y mi residencia son en Ñuble,Punilla,Ñiquén,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",AlimentosÑuble Norte,,,,Alimentos,Micro,"Emprendimiento de alimentos enfocado en la región de Ñuble, con foco en Ñiquén.",Solución diferenciada en alimentos que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Disruptiva,Proceso,Regional,Alimentos,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,2,"Carla Silva (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo28,
2026/07/02 14:23:00,postulante29@ejemplo.cl,Sí,María,Martínez,Muñoz,10003973-9,1992-03-12,Femenino,postulante29@ejemplo.cl,+56 9 10028739,Mi emprendimiento y mi residencia son en Ñuble,Punilla,Coihueco,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,ManufacturaÑuble Lab,ManufacturaÑuble Lab,76000377-9,Sociedad por Acciones (SpA),Manufactura,Micro,"Emprendimiento de manufactura enfocado en la región de Ñuble, con foco en Coihueco.",Solución diferenciada en manufactura que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Servicio,Regional,Manufactura,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,2,"María Martínez (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo29,
